발생일시,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자_당사자종별,피해자_당사자종별,도로형태id,사고id
2019-11-01 13:00:00+09,1,1,1,0,0,대구,달성군,차대차,추돌,안전운전 의무 불이행,화물차,승용차,5,2655
2019-11-01 19:00:00+09,1,0,0,0,0,경남,남해군,차량단독,공작물충돌,안전운전 의무 불이행,승용차,없음,5,2656
2019-11-01 19:00:00+09,1,0,0,0,0,대전,서구,차대사람,기타,보행자 보호의무 위반,승용차,보행자,3,2657
2019-11-01 20:00:00+09,1,0,0,0,0,충북,충주시,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,1,2658
2019-11-01 22:00:00+09,1,1,1,0,0,서울,강남구,차대차,추돌,안전운전 의무 불이행,이륜차,승용차,5,2659
2019-11-02 00:00:00+09,1,0,0,0,0,경남,창원시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,1,2660
2019-11-02 05:00:00+09,1,0,0,0,0,강원,원주시,차대사람,횡단중,안전운전 의무 불이행,화물차,보행자,5,2661
2019-11-02 08:00:00+09,1,0,0,0,0,인천,부평구,차대차,기타,안전운전 의무 불이행,승용차,자전거,4,2662
2019-11-02 10:00:00+09,1,0,0,0,0,경기,시흥시,차량단독,전도,안전운전 의무 불이행,농기계,없음,2,2663
2019-11-02 11:00:00+09,1,0,0,0,0,서울,서대문구,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,2664
2019-11-02 15:00:00+09,1,1,0,1,0,경기,가평군,차량단독,공작물충돌,안전운전 의무 불이행,승용차,없음,5,2665
2019-11-02 16:00:00+09,1,0,0,0,0,전북,군산시,차대사람,횡단중,중앙선 침범,건설기계,보행자,6,2666
2019-11-02 17:00:00+09,1,0,0,0,0,전남,화순군,차대사람,횡단중,과속,승용차,보행자,1,2667
2019-11-02 17:00:00+09,1,0,0,0,0,경북,군위군,차대사람,길가장자리구역통행중,안전운전 의무 불이행,승합차,보행자,5,2668
2019-11-02 17:00:00+09,1,1,0,1,0,울산,울주군,차대차,정면충돌,중앙선 침범,승용차,승용차,5,2669
2019-11-02 18:00:00+09,1,0,0,0,0,경남,창녕군,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,5,2670
2019-11-02 18:00:00+09,1,5,4,0,1,경남,고성군,차대차,기타,안전운전 의무 불이행,승용차,승용차,2,2671
2019-11-02 19:00:00+09,1,0,0,0,0,경기,하남시,차대사람,횡단중,안전운전 의무 불이행,승합차,보행자,5,2672
2019-11-02 19:00:00+09,1,0,0,0,0,충남,부여군,차대사람,횡단중,안전운전 의무 불이행,승합차,보행자,7,2673
2019-11-02 20:00:00+09,1,2,0,1,1,경북,칠곡군,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,5,2674
2019-11-03 05:00:00+09,1,11,7,4,0,전북,고창군,차량단독,전복,안전운전 의무 불이행,승합차,없음,2,2675
2019-11-03 07:00:00+09,2,0,0,0,0,세종,세종시,차량단독,공작물충돌,안전운전 의무 불이행,이륜차,없음,5,2676
2019-11-03 15:00:00+09,1,0,0,0,0,전남,강진군,차대차,추돌,안전운전 의무 불이행,승용차,농기계,5,2677
2019-11-03 15:00:00+09,1,6,6,0,0,전남,담양군,차대차,정면충돌,중앙선 침범,승용차,승용차,5,2678
2019-11-03 16:00:00+09,2,0,0,0,0,경남,함안군,차량단독,공작물충돌,안전운전 의무 불이행,이륜차,없음,5,2679
2019-11-03 18:00:00+09,1,0,0,0,0,전북,전주시,차대사람,횡단중,보행자 보호의무 위반,승용차,보행자,5,2680
2019-11-03 18:00:00+09,1,1,0,1,0,대전,서구,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,2,2681
2019-11-03 19:00:00+09,1,0,0,0,0,경남,통영시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,2682
2019-11-04 05:00:00+09,1,0,0,0,0,광주,광산구,차대사람,횡단중,과속,승용차,보행자,5,2683
2019-11-04 06:00:00+09,1,0,0,0,0,충남,서산시,차대사람,차도통행중,안전운전 의무 불이행,화물차,보행자,5,2684
2019-11-04 07:00:00+09,1,0,0,0,0,충남,태안군,차대사람,길가장자리구역통행중,안전운전 의무 불이행,화물차,보행자,5,2685
2019-11-04 12:00:00+09,1,0,0,0,0,경북,의성군,차대차,추돌,안전운전 의무 불이행,화물차,농기계,5,2686
2019-11-04 14:00:00+09,1,0,0,0,0,충남,서천군,차량단독,기타,안전운전 의무 불이행,화물차,없음,5,2687
2019-11-04 15:00:00+09,1,0,0,0,0,충남,아산시,차량단독,전도,안전운전 의무 불이행,이륜차,없음,2,2688
2019-11-04 15:00:00+09,1,1,1,0,0,충남,당진시,차대차,추돌,안전운전 의무 불이행,화물차,화물차,5,2689
2019-11-04 15:00:00+09,1,1,0,1,0,대구,달성군,차대차,추돌,안전운전 의무 불이행,화물차,화물차,2,2690
2019-11-04 16:00:00+09,1,0,0,0,0,경기,시흥시,차대차,측면충돌,기타,자전거,승용차,1,2691
2019-11-04 16:00:00+09,1,0,0,0,0,대구,남구,차대사람,차도통행중,기타,승용차,보행자,1,2692
2019-11-04 17:00:00+09,1,0,0,0,0,경기,용인시,차대사람,횡단중,과속,화물차,보행자,5,2693
2019-11-04 17:00:00+09,1,0,0,0,0,대구,중구,차대차,측면충돌,신호위반,자전거,승용차,1,2694
